X,Y,OBJECTID,ADDRESS_BLOCK,PRE_DIR,STREET_NAME,SUFFIX,SUF_DIR,FULL_ADDRESS,METER_NUMBER,SPACE_NUMBER,SPACE_TYPE,INSTALL_DATE,HOURLY_RATE,DAILY_RATE,RATE_INCREASE_DATE,ZONE_NAME,OP_HOURS,OP_DAYS,PAY_TYPE
-86.1598628859964,39.7659326600647,104371,0000,S,ILLINOIS,ST,E,0000 S ILLINOIS ST,SILL000011,7317,MULTI SPACE,2011/01/01 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,MULTI
-86.153231128784,39.7739548239427,104372,200,E,MICHIGAN,ST,S,200 E MICHIGAN ST,,1621,SINGLE SPACE,2012/08/28 00:00:00+00,1.00,20.00,2012/01/02 00:00:00+00,03,0700-2300,MON-SAT,SINGLE
-86.1467322710501,39.7683042723094,104373,600,E,MARKET,ST,N,600 E MARKET ST,,5695,SINGLE SPACE,2012/08/02 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-2300,MON-SAT,SINGLE
-86.1584021499888,39.7755689721594,104374,0000,W,NORTH,ST,N,0000 W NORTH ST,WN  000014,6041,MULTI SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-2300,MON-SAT,MULTI
-86.1561164282252,39.7690419228132,104375,100,N,PENNSYLVANIA,ST,E,100  N PENNSYLVANIA ST,NP  000113,9688,MULTI SPACE,2011/01/01 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,MULTI
-86.1643749537347,39.7738317725531,104376,400,,INDIANA,AVE,,400 INDIANA AV,IND 000408,8819,MULTI SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-2300,MON-SAT,MULTI
-86.1451816607635,39.8703945481379,104377,700,E,WESTFIELD,BLVD,N,700 WESTFIELD BLVD,<Null>,227,MULTI SPACE,2012/03/30 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,04,0700-2300,MON-SAT,MULTI
-86.1510379046363,39.7712088569141,104378,300,E,NEW YORK,ST,N,300 E NEW YORK ST,,886,LOADING ZONE,2019/12/20 00:00:00+00,1.00,19.00,2012/01/02 00:00:00+00,02,0700-2300,MON-SAT,MULTI
-86.1578072320191,39.7770553578899,104379,700,N,MERIDIAN,ST,W,700 N MERIDIAN ST,NM  000708,2293,MULTI SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,02,0700-2300,MON-SAT,MULTI
-86.1629646820588,39.7882742218451,104380,1500,N,SENATE,AVE,E,1500 N SENATE AV,NS  001521,8950,ADA,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-2300,MON-SAT,SINGLE
-86.1629316064129,39.7820531802908,104381,1000,N,SENATE,AVE,E,1000 N SENATE AVE,NS 1027,8233,MULTI SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-2300,MON-SAT,MULTI
-86.1577418940412,39.7733334332615,104382,400,N,MERIDIAN,ST,E,400 N MERIDIAN ST,NM  000415,8419,MULTI SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-2300,MON-SAT,MULTI
-86.1511547107412,39.7726046877181,104383,300,E,VERMONT,ST,N,300 E VERMONT ST,EV  000318,1518,MULTI SPACE,2011/01/01 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,MULTI
-86.1594318815963,39.7775833950879,104384,700,N,ILLINOIS,ST,E,700 N ILLINOIS ST,NILL000703,8317,MULTI SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-2300,MON-SAT,MULTI
-86.1513977393069,39.7670439157106,104385,300,E,WASHINGTON,ST,N,300 E WASHINGTON ST,EW  000328,5433,MULTI SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,02,0700-2300,MON-SAT,MULTI
-86.163134853579,39.7728934099331,104386,200,W,VERMONT,ST,N,200 W VERMONT ST,WV  000202,3610,MULTI SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,02,0700-2300,MON-SAT,MULTI
-86.1650473128988,39.7673532318069,104387,300,W,WASHINGTON,ST,N,300 W WASHINGTON ST,WW  000370,7064,MULTI SPACE,2011/01/01 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,MULTI
-86.1601284006902,39.7816858759094,104388,100,W,11th ,ST,S,100 W 11th St,,9041,MULTI SPACE,2019/10/11 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-2300,MON-SAT,MULTI
-86.1487648401251,39.7758923919089,104389,600,N,EAST,ST,W,600 N EAST ST,,7758,MULTI SPACE,2020/10/07 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-2300,MON-SAT,MULTI
-86.1545775209283,39.7625064450196,104390,300,S,DELAWARE,ST,E,300 S DELAWARE ST,,5841,MULTI SPACE,2012/11/30 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-2300,MON-SAT,MULTI
-86.1589610187573,39.7755036850857,104391,0000,W,NORTH,ST,S,0000 W NORTH ST,WN  000015,6057,SINGLE SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-2300,MON-SAT,SINGLE
-86.1562229184104,39.769685594968,104392,100,N,PENNSYLVANIA,ST,W,100  N PENNSYLVANIA ST,NP  000124,9679,SINGLE SPACE,2011/01/01 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,SINGLE
-86.1543177478106,39.7614234291415,104393,200,E,SOUTH,ST,N,200 E SOUTH ST,,5801,MULTI SPACE,2012/11/30 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-2300,MON-SAT,MULTI
-86.1589252204848,39.7655821823866,104394,0000,W,MARYLAND,ST,S,0000 W MARYLAND ST,WMD 000017,7177,MULTI SPACE,2011/01/01 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,MULTI
-86.1613725006049,39.7823068215798,104395,200,W,11TH,ST,N,200 W 11TH ST,,7700,MULTI SPACE,2016/02/06 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-1800,MON-FRI,MULTI
-86.164452160783,39.7821614145546,104396,300,W,011TH,ST,S,300 W 011TH ST,E11TH000323,8587,MULTI SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-1800,MON-FRI,MULTI
-86.1521841614731,39.777041722424,104397,700,N,ALABAMA,ST,E,700 N ALABAMA ST,NA  000709,8794,MULTI SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-1800,MON-FRI,MULTI
-86.1436991786325,39.7785547884031,104398,800,,MASSACHUSETTS,AVE,,800 MASSACHUSETTS AVE,,2533,SINGLE SPACE,2012/04/26 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,02,0700-2300,MON-SAT,
-86.1559164858201,39.773949480301,104399,400,N,PENNSYLVANIA,ST,E,400 N PENNSYLVANIA ST,,878,LOADING ZONE,2019/11/11 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-2300,MON-SAT,MULTI
-86.1563207133366,39.7681449511095,104400,0000,N,PENNSYLVANIA,ST,W,0000 N PENNSYLVANIA ST,NP  000022,9510,MULTI SPACE,2011/01/01 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,SINGLE
-86.1627202016474,39.7755788129239,104401,200,W,NORTH,ST,S,200 W NORTH ST,WN  000203,6111,SINGLE SPACE,2011/01/01 00:00:00+00,1.00,20.00,2018/01/01 00:00:00+00,03,0700-2300,MON-SAT,SINGLE
-86.1580941181282,39.7644841944246,104402,100,S,MERIDIAN,ST,E,100 S MERIDIAN ST,,661,LOADING ZONE,2019/06/14 00:00:00+00,1.50,25.00,2018/01/01 00:00:00+00,01,0700-2300,MON-SAT,SINGLE
