X,Y,OBJECTID,SPACE_,STATUS,DMS_LAT,DMS_Long,WHOLESTNAME,SideOfStreet,Block,GlobalID
1451611.775231,541890.504606009,4241,,Operational,35.2250075782801,-80.8363833792579,E 6th St,North,500,bbe8a1a9-13f8-4c1c-8426-f156245e7891
1446654.87835601,545985.860856012,4242,2590,Operational,,,N Sycamore St,West,100,833b2007-a60a-47e3-a4a8-1ce901ec150e
1449778.66273101,542875.707731009,4243,2062,Operational,,,N Tryon St,West,,1dd573af-0b35-4afa-9fd0-082c61875827
1451601.81835601,544227.387106001,4244,101,Operational,35.2314269519329,-80.8365614744157,Phifer Av,North,100,f4831b33-7fdc-4db5-bf0d-fe4e71fe6edd
1448943.21898101,540507.866481006,4245,2644,Operational,35.2210732387436,-80.8452314464325,S Brevard St,West,400,0a451ad2-bef2-4d37-856c-34dbdf279195
1451724.62898101,544067.859606013,4246,109,Operational,35.2309949402818,-80.8361404002417,Phifer Av,North,100,ddcf3e38-87a1-43b8-8f6e-0ac814f2c5c0
1451240.84710601,541671.855856001,4247,339,Operational,35.2243880474863,-80.8376116676011,E 5th St,North,500,39cc85e6-f0d3-4762-9d56-f1a6a033eb7e
1449582.040856,543316.204606012,4248,,Bagged,35.2288209010888,-80.8432674143436,N Church St,West,100,b98516b4-b778-436c-a2fa-ae9f59fe781a
1450501.57898101,540440.239606008,4249,463,Pay Station,35.2209669282884,-80.8400102275426,E 3rd St,South,600,034d8156-2351-4533-ac07-e0c76bdd8ca4
1451554.37398101,544504.022731006,4250,2106,Operational,35.2321845126604,-80.8367374667203,W 10th St,North,100,f9cb56b7-f2bf-417b-87d5-b278c410853a
1447787.23273101,545257.155231014,4251,,Operational,35.2340613482045,-80.8493976497424,W 5th St,South,800,a5d95d42-2fd2-4c38-b138-3ac947865238
1447116.45273101,545284.298981011,4252,,Operational,35.2341015618583,-80.851645311737,W Trade St,South,900,1c84b435-24bb-4f66-b682-6d1729606215
1450139.85898101,543112.026481003,4253,,Pay Station,35.2282642630526,-80.8414235197943,N Tryon St,East,200,f95076d5-3d2f-49ee-94ca-ef548dab9b9c
1448791.11648101,542069.860231012,4254,2077,Pay Station,,,S Tryon St,West,300,7c5a484f-7caf-45c4-922b-1ca51a4ecfaf
1446573.059606,545894.085231006,4255,2595,Operational,,,N Sycamore St,West,100,3341af9b-8eeb-4d70-9452-2eba4bbfd2e0
1451350.67773101,541554.94085601,4256,347,Operational,35.2240724440427,-80.8372367203894,E 5th St,North,500,212a6ebc-ba08-4350-87ea-77afe218a9b0
1451734.44210601,544432.876481012,4257,015,Operational,35.2319982122711,-80.8361301518318,N Tryon St,East,700,e1886ab9-f566-425c-b1be-6d27170d66da
1450725.541481,542993.626481012,4258,,Operational,35.227992992114,-80.8394188647843,N College St,East,300,c26d7cf6-6b46-4411-9684-36a206ffbce8
1450451.11023101,543427.281481013,4259,2050,Pay Station,,,N Tryon St,,300,a5090ba5-242e-4eb3-84d2-9f7dbba349be
1448174.61398101,542433.616481006,4260,2218,Pay Station,,,W Martin Luther King Jr Bv,North,200,81c68e36-6d7a-4145-8445-eca799bde480
1446604.11398101,545926.998981014,4261,2593,Operational,,,N Sycamore St,West,100,798b5438-e0bb-4a9b-a392-c1a0adb6ab31
1450669.57648101,540902.545231014,4262,361,Pay Station,35.2222455283223,-80.8394764941408,E 4th St,South,500,b439872c-ab0a-41c0-9fd4-a45bb26a0fb6
1447957.900856,544490.492106006,4263,,Operational,35.2319639134516,-80.848778390088,W Trade St,South,600,899456ad-250f-449d-a01a-10a34d63ff4e
1450704.55273101,540222.556481004,4264,473,Pay Station,35.2203792439549,-80.8393172159266,E 3rd St,South,600,9f6eaeac-9188-4b80-8e0e-c914290b0e17
1451124.34648101,544536.041481003,4265,2628,Operational,,,N Church St,East,600,3482d329-a84f-4d75-8636-48068248dfc3
1452014.83648101,542652.460856006,4266,,Operational,,,N Brevard St,South,400,bc3034bc-75d3-49f7-964e-ff7c9c9524c8
1448386.25648101,540989.517106012,4267,,Operational,,,,,,f96945b1-d8d9-44e4-80f7-94186a8a1467
1451796.041481,544486.500231013,4268,011,Operational,35.2321549309218,-80.8359336231921,N Tryon St,East,700,21540ec9-69e0-434f-88e7-a2208c06a79d
1452551.59523101,540893.616481006,4269,436,Operational,35.2223166514568,-80.8331752881429,E 6th St,North,800,89aab3df-2877-4139-a6e7-11824c5927eb
1448495.430856,544440.349606007,4270,,Operational,35.2318536537828,-80.8469755040632,Wilkes Pl,East,100,66c6c0f4-9b1a-4ee4-976a-fd4862018a6d
1450213.64148101,540358.892731011,4271,371,Pay Station,35.2207287848047,-80.8409691220573,S Davidson St,East,300,4cef4158-7b8b-471f-9d30-55822efc901d
1449075.886481,542245.28460601,4272,063,Pay Station,,,S Tryon St,East,200,e14f19ae-ab87-4a0a-9be8-355465f73920
1449813.09585601,543812.147731006,4273,,Operational,35.2301951385065,-80.8425246462638,W 6th St,South,200,e67f72f0-65c7-4174-8bc7-6a4545e2f864
1450247.69523101,540794.640856013,4274,299,Pay Station,35.2219276067289,-80.8408821735068,E 3rd St,North,500,405089d2-89de-424d-9c9d-66283aec9bb3
1451085.637731,539802.054606006,4275,496,Pay Station,35.2192434338969,-80.8380153760529,E 3rd St,South,600,b76be344-df16-49b4-a2e9-31acd862df98
1448198.87585601,541596.213981003,4276,2090,Pay Station,,,S Tryon St,West,400,c35bda99-6a04-4c9e-a7a6-2892b46b7c49
1454256.12835601,537961.868356004,4277,,Operational,35.2143488802212,-80.8272881254699,Elizabeth Av,North,1500,68709764-1ab6-4f74-9e35-a3cbb78e6d45
1449718.884606,539961.479606003,4278,396,Operational,35.2196117914218,-80.8426007459146,S Davidson St,East,400,d59ff8ad-9fdd-4e10-883f-25d8c178fa05
1447565.03648101,545450.202106014,4279,,Operational,35.2345803087845,-80.8501536759194,W 5th St,South,800,f8215fd5-830f-4b6b-a855-b36912f58428
1450676.575856,539328.180231005,4280,548,Operational,35.2179207885766,-80.8393553910747,E Martin Luther King Jr Bv,North,600,5de2f39d-8c27-470f-827a-f62c0ef6898e
1451662.44523101,542719.383981004,4281,,Operational,,,N Brevard St,West,400,85a731ff-5aea-475f-a31e-f3bd0d70f2f9
1451538.010856,544522.23773101,4282,2107,Operational,35.2322337210024,-80.8367933826985,W 10th St,North,100,e9ae87f3-1c2b-4f6a-89ec-4ada1856f421
1449068.22210601,542294.087106004,4283,2075,Operational,,,S Tryon St,West,,a64b54c3-2d56-4e12-93dc-393531655d8a
1448449.68835601,542699.017106012,4284,2254,Operational,,,W 3rd St,South,200,278e9890-86cc-42bc-a99c-4cfc152f1244
1449194.94085601,543847.732731014,4285,,Operational,35.2302613564074,-80.8445965276324,W 5th St,South,300,cf421323-6b4b-46db-ae5a-efa70cdacd4c
1448388.416481,540993.363981009,4286,,Operational,,,,,,fcaaa2bd-cbc5-45dc-b08f-491d465e4ea4
1447515.21898101,541579.068981007,4287,,Bagged,35.2239430162265,-80.8500788865799,S Church St,East,600,26db4a89-fa1a-42ba-8dd8-1899d0b7533a
1450085.13335601,539970.093981013,4288,527,Operational,35.2196541285429,-80.8413751887114,E Martin Luther King Jr Bv,North,600,079fd8f1-59b0-40ae-86ca-8aca010dab6e
1448544.39835601,543009.892731011,4289,2275,Operational,,,S Poplar St,West,200,0ae7607b-694a-4902-8075-b7374dc38a81
1447851.78148101,544593.907731012,4290,,Operational,35.232242585316,-80.8491401502348,W Trade St,South,600,4cffa964-90ee-4f33-873f-1f702863ddc1
1447739.73460601,544805.396481007,4291,,Pay Station,35.2328178500385,-80.8495285020536,W Trade St,North,600,e56b55fe-d224-4348-9f47-c3ca2d4c752b
1445421.07085601,537420.088981003,4292,,Operational,35.2124100653521,-80.8568293547103,South Bv,East,1700,547cbc9c-3be7-41f0-9fd9-360eefa9310c
1447759.60210601,542910.320856005,4293,2380,Pay Station,,,W Martin Luther King Jr Bv,North,400,c85749ec-57fb-474f-9011-e3abc2969a82
1448734.763356,543165.858981013,4294,2264,Operational,,,S Poplar St,West,100,b718337b-77a8-4379-aa35-d528614a248b
1448160.480231,542449.033356011,4295,2219,Pay Station,,,W Martin Luther King Jr Bv,North,200,12a5ddf6-383e-4e68-b1fb-85c07d24aa48
1447483.699606,541556.395856008,4296,,Bagged,35.2238791147816,-80.8501829946315,S Church St,East,600,d72ce9a0-1f65-4734-aee9-0952a7a73f13
1450375.10773101,543914.837106004,4297,2141,Operational,,,N Church St,East,400,8f83af13-b92b-4dbe-9c06-1805b0152dff
1448724.713356,544359.295856014,4298,,Operational,35.2316427018177,-80.8462027718589,W 5th St,South,500,1e6ebdbe-4a9b-40f4-81ce-03f49362272e
1451945.70898101,542901.209606007,4299,,Operational,,,N Brevard St,East,500,cb60ff2e-3ce8-49d1-825d-e7e2e975df0f
1447752.78585601,542845.447731003,4300,2371,Operational,,,W Martin Luther King Jr Bv,South,400,e825f294-06a0-4ee0-b001-c2489c0ad6e5
1451592.48460601,544176.644606009,4301,089,Operational,35.2312870778481,-80.836589582018,Phifer Av,South,100,d9ab8290-c27c-419c-ae06-c010c03dde45
1446785.855856,546093.465231001,4302,2599,Operational,,,N Sycamore St,East,100,45e08862-6c90-48c0-aa29-4c6551774d4f
1451065.383981,543279.282106012,4303,,Operational,35.228795040452,-80.8382987677479,N College St,East,400,87092658-98d5-4a80-b75c-6586eba1f0e1
1450121.76460601,539856.651481003,4304,520,Operational,35.2193443461586,-80.8412455133302,E Martin Luther King Jr Bv,South,600,e75b7ea5-4b4b-4f78-aa30-2e448ed4a380
1449161.33148101,543271.75273101,4305,,Operational,35.2286773119311,-80.8446732170187,W Trade St,North,200,3f431631-917b-4e92-ae58-812ee41c8641
1454005.65523101,538147.300856009,4306,,Operational,35.2148456315682,-80.8281380157103,Elizabeth Av,South,1400,d7483a08-ea45-4727-bbf1-c69b5c17d7e2
1447959.198981,545352.26898101,4307,2496,Operational,,,N Cedar St,East,200,358082a6-f225-432b-971b-e0b44736c780
1454336.70585601,537814.605856001,4308,,Operational,35.2139483941663,-80.8270093189247,Elizabeth Av,South,1500,a24c5e5d-99d1-4b6e-847a-2f55e1256f72
1449671.18898101,539923.385231003,4309,399,Operational,35.2195047061147,-80.842758049086,S Davidson St,East,400,394be9ae-b254-4ece-9697-d48a55c690ce
1449163.03210601,540681.98773101,4310,267,Operational,35.2215628079318,-80.8445063967393,S Brevard St,West,400,e6e84b86-aa95-42ae-9c6a-b726890ddeeb
1447705.153981,542976.335231006,4311,2384,Pay Station,,,W Martin Luther King Jr Bv,North,400,e4ca940e-c854-469f-8388-1a4e2e544bb1
1447808.07023101,545127.408356011,4312,,Pay Station,35.2337059755483,-80.8493197856888,N Cedar St,East,100,6ba6a19d-46fb-480e-b13c-d7cccf154f8b
1451974.70148101,542736.646481007,4313,,Operational,,,N Brevard St,North,400,92b8bba8-95ce-4d04-b9e1-ff25755c4d42
1450190.18898101,540398.047731012,4314,385,Pay Station,35.2208351563948,-80.8410500664437,S Davidson St,West,300,a4884b09-7a26-42b0-a03a-5ae04e6d33de
1448510.36273101,542439.592106014,4315,2164,Pay Station,,,S Church,West,300,c986e320-ce90-4809-b56f-96ed76833799
1449760.28335601,543874.86273101,4316,,Operational,35.2303647354526,-80.8427053679579,W 6th St,South,200,8974df19-f137-4a21-8f8a-5bd043499e20
1451733.10085601,543991.273981005,4317,096,Operational,35.2308947518819,-80.8361917682108,Phifer Av,South,100,2741a9a3-cf9a-40c9-8db4-e73ba380a81c
1448151.540856,545615.043981001,4318,2484,Operational,,,N Cedar St,East,200,7a2c7e0d-3814-4f71-957c-8d1dda09d4f2
1448342.82710601,544287.350856006,4319,,Operational,35.2314255349484,-80.8474769175899,Wilkes Pl,East,100,f4c527a4-ff47-4656-8404-685ed2387842
1451785.42085601,542771.669606,4320,,Operational,,,N Brevard St,East,400,5add61d8-b870-4d77-bd5a-f75f633099bc
1448830.78773101,543477.683981001,4321,,Operational,35.2292261638294,-80.8457927229841,S Mint St,East,100,308e196d-3003-43ff-9d3f-c051231747cd
1446706.48460601,546004.036481008,4322,,Operational,,,,,,1792cc80-b4fb-4d13-9aab-ca19eca0bac1
1446675.29960601,546007.010856003,4323,2589,Operational,,,N Sycamore St,West,100,7913fc8f-20f3-4621-b234-c5672b4aba1c
1451018.90710601,539874.761481002,4324,491,Pay Station,35.2194397794541,-80.8382432772113,E 3rd St,South,600,52422f52-5000-458e-9fe9-1be5536b6fa6
