X,Y,OBJECTID,SPACE_,STATUS,DMS_LAT,DMS_Long,WHOLESTNAME,SideOfStreet,Block,GlobalID
1448007.77023101,542575.360231012,3163,2238,Operational,,,W Martin Luther King Jr Bv,South,200,822e690f-eb11-45b5-b575-df0e53fdaa22
1448488.12960601,542655.233981013,3164,2251,Operational,,,W 3rd St,South,200,77c9e01f-9482-4d81-b1eb-d0bbbc8c2d7b
1450304.513356,540735.594606012,3165,303,Pay Station,35.2217682896873,-80.8406882920923,E 3rd St,North,500,33a67c14-ad84-405b-b6cf-7787526e75c2
1454178.85210601,537974.993981004,3166,,Operational,35.2143810305926,-80.8275476163723,Elizabeth Av,South,1500,fd9ec5e6-4996-4d77-858b-c53072b2f932
1449689.792731,541109.548981011,3167,,Operational,,,Brevard St,Right,300,c02f386c-8b91-4089-9052-0e4673e0afcf
1451668.88898101,541829.068356007,3168,,Operational,35.2248417033213,-80.8361883615619,E 6th St,North,500,31e5eb42-47e6-4507-99ab-9711a12d2ad9
1451336.81648101,541570.015231013,3169,346,Operational,35.2241131515157,-80.837284060472,E 5th St,North,500,636d1975-a6b5-4ed6-b9b4-afd861014c30
1448073.35835601,542545.963356003,3170,2220,Pay Station,,,W Martin Luther King Jr Bv,North,200,7ec94972-2bdd-49ff-8b38-fc1bf03ed368
1454527.49273101,537859.130231008,3171,,Operational,35.2140803576945,-80.8263734060992,Travis Av,West,200,63e34177-272f-42d9-8984-c33337dc6daf
1449769.622731,543202.292106003,3172,,Operational,35.2285175293434,-80.8426322949454,W 5th St,South,100,f0604998-3506-44e8-9c78-5e75372a4df9
1451606.55085601,544159.289606005,3173,090,Operational,35.2312401152436,-80.8365414104505,Phifer Av,South,100,c4a8c8b1-f14f-42df-8b4b-4d34636cb033
1447097.57960601,545302.178981006,3174,,Operational,35.2341497143499,-80.8517096213313,W Trade St,South,900,5d561439-135d-4e42-bfae-6fcbca9c1b67
1448565.372106,544593.650856003,3175,,Operational,35.2322783767502,-80.8467508764112,W 5th St,North,520,51b87bd5-047b-4eb0-b3df-7af459f1c09b
1448525.43835601,542453.26898101,3176,2163,Pay Station,,,S Church,West,300,7d01205d-c4c9-4104-ae56-50f70af670f8
1450569.31835601,541011.211481005,3177,354,Pay Station,35.2225389514009,-80.8398188826936,E 4th St,South,500,ae6c0aa4-21eb-4f2c-8375-ffcca9de005e
1445590.732106,538034.976481006,3178,,Operational,35.2141079988055,-80.8562999240816,E Park Av,South,100,3497c791-31b1-4765-95b0-b2af2fe6c54b
1451616.97148101,544211.500856012,3179,102,Operational,35.2313840795089,-80.8365097547051,Phifer Av,North,100,daec1d38-d655-4d51-b7ad-88e249e186e1
1446013.56148101,538151.957106009,3180,,Operational,35.2144510828349,-80.854891833761,South Bv,West,1500,8e29309f-21b7-4588-b5d6-bf712ded605a
1451045.216481,544356.863356009,3181,2662,Operational,,,W 9th St,North,100,56bf690d-83a6-4c2c-8857-16ec85c8e976
1445580.16085601,538094.092106014,3182,,Operational,35.2142698577792,-80.8563390119061,E Park Av,North,100,b9eceaec-5b13-4ea5-90c5-2a506e6ae8c9
1450247.760231,543206.017106012,3183,,Pay Station,35.2285759269018,-80.841002562731,N Tryon St,East,200,1d8827d6-c275-4ec5-85cf-68dc2b195353
1448759.478356,542045.173356012,3184,2079,Pay Station,,,S Tryon St,West,300,ae1740ac-5dcd-49c6-b114-69d11169dbb2
1451253.45835601,541658.795231014,3185,340,Operational,35.2243528087431,-80.8375686368815,E 5th St,North,500,6266604a-d883-4082-9e94-9c5ebbe32d40
1447307.17210601,545689.792731002,3186,,Operational,35.2352253017637,-80.8510320467922,W 5th St,South,900,3f1a8181-49c1-4047-bde3-4bd4c3152414
1450236.44085601,540438.153356001,3187,382,Pay Station,35.220947691203,-80.8408977166607,S Davidson St,West,300,d50a5e0b-7cd7-40f5-b7f6-ea0ad1a17049
1447723.33085601,544996.646481007,3188,,Pay Station,35.2333424103143,-80.8495953581256,N Cedar St,East,100,28ef8bc0-19c6-4e41-ae7d-9c8193f4a172
1449622.42148101,539883.438981012,3189,402,Operational,35.2193924784596,-80.8429188250478,S Davidson St,East,400,c95ec336-600b-4a20-9e6c-bd0297102544
1446640.89335601,545966.185231,3190,2591,Operational,,,N Sycamore St,West,100,2fd3b1cb-45c1-45ad-b4fe-538f44568a0c
1449711.09460601,540665.507106006,3191,2653,Operational,35.2216218977021,-80.8427210797776,E Martin Luther King Jr Bv,North,400,255db555-d369-4a03-ac89-f38f3be99cb1
1449501.08085601,543246.954606012,3192,,Operational,35.2286265272856,-80.8435341687063,N Church St,West,100,06d5d5d7-302b-447c-b818-08e395246f19
1445652.81773101,537980.235856012,3193,,Operational,35.2139608052702,-80.8560886678898,E Park Av,South,100,d0eedfd9-189a-41dc-8cce-b9afba08f5ee
1454333.618356,537882.525856003,3194,,Operational,35.2141348284947,-80.8270238392172,Elizabeth Av,North,1500,974cea55-dd5c-42e5-b48b-1c543124b226
1450186.685231,540788.662106007,3195,287,Operational,35.2219080732613,-80.8410860514523,E 3rd St,South,500,5fa5f108-c47a-44dd-98ef-ca85819fa7d5
1448052.52085601,542526.274606004,3196,2235,Operational,,,W Martin Luther King Jr Bv,South,2235,6385dadd-41e9-4d3f-95c9-b5e00db6cd11
1445938.794606,538074.566481009,3197,,Operational,35.2142346370709,-80.8551372726958,South Bv,West,1500,4c1f8da9-b6b0-492a-9d38-b8b7f2afe51c
1454140.74085601,538015.354606003,3198,,Operational,35.2144899818679,-80.8276776814254,Elizabeth Av,South,1500,4132283c-1d36-495c-ad20-bb225da0f110
1450958.54585601,542554.684606001,3199,,Bagged,35.2267989917405,-80.8386115325907,E 6th St,South,200,8007bbf9-5050-4691-9e23-2d5da648273d
1454121.59648101,538100.651481003,3200,,Operational,35.2147233417461,-80.8277470250036,Elizabeth Av,North,1500,a05518b9-f86f-4e82-8399-b9393ae1d77e
1448434.22523101,544379.389606014,3201,,Operational,35.2316830560635,-80.8471766345521,Wilkes Pl,East,100,0c473008-dce3-4a48-91c7-caff3acf78c2
1449715.916481,541131.11210601,3202,,Operational,,,Brevard St,Right,300,b33d893d-0a51-46fd-8c6d-8bb53ddc03a5
1452065.60148101,541404.261481002,3203,409,Operational,35.2236948273063,-80.8348339086486,E 6th St,North,600,dca3f905-aa9d-42d3-81f2-9d7ef0abb62a
1447740.13273101,545022.945231006,3204,,Pay Station,35.2334155180591,-80.8495407418142,N Cedar St,East,100,b6465816-7a01-4b7d-b2bc-455dea7eb4da
1448204.838356,542400.353981003,3205,2216,Pay Station,,,W Martin Luther King Jr Bv,North,200,99cf73dd-7d1c-4d35-b7bc-c1d92d159cf5
1445492.45898101,538174.621481001,3206,,Operational,35.2144865812704,-80.8566376340035,E Park Av,North,100,877191e7-cf09-4410-9be7-a30320b8d5ae
1451962.59273101,542914.537106007,3207,,Operational,,,N Brevard St,East,500,8aa68fee-321d-44dd-837b-311d32b7a232
1449687.14585601,539936.173356012,3208,398,Operational,35.2195406514629,-80.8427054250524,S Davidson St,East,400,470b45c8-0234-489c-9c26-63b8835a7ab2
1448882.82960601,543287.520856008,3209,2259,Operational,,,S Poplar St,West,100,567aa982-f06e-4296-8c06-9980b93e7f21
1448825.19460601,543198.672731012,3210,2270,Operational,35.2283060108791,-80.8459764689333,S Poplar St,East,100,ffb35976-698c-4d3c-96c4-482fca5e28c7
1450206.41148101,540412.349606007,3211,384,Pay Station,35.2208752730999,-80.8409966455417,S Davidson St,West,300,4a684c24-d35b-44fc-b209-4ad83996d90a
1448022.697106,542559.529606014,3212,2237,Operational,,,W Martin Luther King Jr Bv,South,200,623d4f25-f91f-4f0e-b8db-64ce93b99246
1451741.165856,544503.756481007,3213,2014,Operational,,,N Tryon St,West,700,7b04e644-6d7f-4917-82c7-34ec1f399418
1448591.45648101,543300.117731005,3214,2331,Operational,,,S Mint St,East,100,0faaf53b-096c-40af-a231-d588bc880405
1451127.84273101,539754.477731004,3215,499,Pay Station,35.2191148775626,-80.8378711376923,E 3rd St,South,600,0574187f-05a1-46a1-bb2c-07676772b7b6
1451704.41460601,541196.281481013,3216,452,Operational,35.2231051163316,-80.8360302374252,E 5th St,North,600,adb0db55-6ef9-44aa-b76e-d684e2d9df5b
1449176.92085601,543867.681481004,3217,,Operational,35.2303152394872,-80.8446581023684,W 5th St,South,300,0348cce5-2ae0-4c71-a34f-478b99e5ae9c
1445436.618981,537435.678356007,3218,,Operational,35.212453691434,-80.8567782851265,South Bv,East,1700,b27d7f00-0594-4244-ad65-c500dd00192f
1448287.68023101,544136.808981001,3219,,Operational,35.2310091476659,-80.8476521770341,W Trade St,South,500,90c59988-d2e8-44f5-beda-a064da21ba3c
1448446.822731,541794.194606006,3220,2083,Pay Station,35.2245816708886,-80.8470316431632,S Tryon St,West,400,225f6447-c02d-4be9-9399-0fc630054702
1449135.622106,542292.701481014,3221,061,Pay Station,,,S Tryon St,East,200,08dcf6fa-e8b1-4d70-9d65-5618f92be9bc
1450266.80085601,540463.888356,3222,380,Pay Station,35.2210199371991,-80.8407976764817,S Davidson St,West,300,24c9b645-9ccc-438c-85eb-3f48f77c7bf4
1448807.42273101,542027.380231008,3223,068,Pay Station,,,S Tryon St,East,300,14cf058b-8c52-4eb9-979f-ed4e0d68157a
1448717.103356,544879.988356009,3224,,Operational,35.2330727549855,-80.8462606793444,W 6th St,South,600,7759d414-fdd8-4fd8-b463-2a5d2ff2effe
1448348.354606,543150.100231007,3225,,Operational,35.2283015717554,-80.8473875416904,S Mint St,West,200,29e83ea7-fdf0-4265-b13b-079f76e54b9b
1445985.96148101,538124.423981011,3226,,Operational,35.2143740270112,-80.8549825018408,South Bv,West,1500,930019d2-81ff-4d53-bf53-1c890c2449fc
1450045.51460601,540019.95585601,3227,524,Operational,35.2197890898545,-80.8415109174592,E Martin Luther King Jr Bv,North,600,11c86b58-682f-4d70-9d41-4408c182cb58
1447791.556481,544652.732731014,3228,,Operational,35.2324011063533,-80.8493454662919,W Trade St,South,600,771dc277-cbc4-41f4-9be4-cd091f2a07bd
1448187.96148101,542419.012106001,3229,2217,Pay Station,,,W Martin Luther King Jr Bv,North,200,2cbe1889-49d1-43af-bae8-5c5e11a8e726
1449818.87335601,543143.191481009,3230,,Operational,35.2283576799983,-80.8424637275037,W 5th St,South,100,86dcc913-3ee0-49ce-a868-62522c6698a5
1450832.715231,543083.748981014,3231,,Operational,35.2282460320441,-80.8390656323179,N College St,East,300,83f8e25e-64c7-44a5-bc87-6655818f09d4
1448233.50710601,543055.467731014,3232,,Operational,35.2280357252531,-80.8477661595227,S Mint St,West,200,63714e84-0385-4f88-a97e-01bb0a41535e
1449596.65835601,543327.967731014,3233,,Bagged,35.2288539624035,-80.8432192051259,N Church St,West,100,77dcd351-91a4-4629-9779-a0676efbc14b
1450974.728356,539922.748981014,3234,488,Pay Station,35.2195693629804,-80.8383941497244,E 3rd St,South,600,0a296ef6-10a1-404b-805c-811599632faa
1450123.95398101,540287.464606002,3235,375,Pay Station,35.2205279873201,-80.8412649375547,S Davidson St,East,300,7b1a4b7c-577e-466e-8101-9b8aec05d34b
1448917.71148101,543267.731481001,3236,2266,Operational,,,S Poplar St,East,100,c144b3fb-c0b7-44df-ae1c-e0989bfd498f
1449738.71898101,541069.382731006,3237,247,Operational,35.2226564324787,-80.84260319755,S Brevard St,East,300,379338fa-428f-4e33-86d4-95fd4dbfd87f
1448534.416481,544631.523356006,3238,,Operational,35.2323808374805,-80.8468568820784,W 5th St,North,520,f134f3c3-33d2-49d9-a335-37be72ed8f02
1448383.36585601,540990.965856001,3239,,Operational,,,,,,2e0f1375-f14b-4f91-ba41-75358e7d3e8b
1449397.653981,541887.905231014,3240,158,Pay Station,35.2248876756423,-80.8437959265124,S College St,East,200,a6c93ef3-389e-4d4a-8fcc-0cb751b38c27
1448270.44210601,544154.418981001,3241,,Operational,35.2310566441749,-80.8477109907402,W Trade St,South,500,fc46b516-2730-4b34-ac83-3dc1d9b9c6f7
1450035.20898101,541386.960856006,3242,,Operational,,,Brevard St,Right,,6cd6ca5e-a5a6-4f1d-bcac-6bee2514ff4d
1449007.93960601,544608.407106012,3243,,Operational,35.2323415267383,-80.8452699808593,W 6th St,South,500,427bf7aa-befb-4589-91e7-fc35da54920b
1448329.70773101,544274.556481004,3244,,Operational,35.2313897155149,-80.8475200463358,Wilkes Pl,East,100,97271d9d-504c-42d3-a066-93ecf6c13571
1450391.78085601,543927.943356007,3245,2140,Operational,,,N Church St,East,400,938545d8-d308-4ec0-951c-0862f15f0250
1448894.96148101,543250.608981013,3246,2267,Operational,,,S Poplar St,East,100,841c917f-f748-4031-8dfa-83df459ca626
1451563.37335601,541343.363356009,3247,442,Operational,35.223502011643,-80.8365115330329,E 5th St,North,600,749e324b-a7c3-42f8-8eb8-7f4a02846211
1451760.92210601,541139.320856005,3248,456,Operational,35.2229515053913,-80.8358375317633,E 5th St,North,600,db3908e0-fae5-4261-a2f4-dd3d3610f96c
1449188.762106,541945.936481014,3249,2672,Operational,,,E 3rd St,South,100,0bf0858e-4d6f-44f2-9b0f-f5ab0af275b0
1450692.08648101,540238.015231013,3250,472,Pay Station,35.2204210776095,-80.8393599086536,E 3rd St,South,600,e234923c-5b85-4912-8689-31cced62498e
1449801.33085601,543494.045856014,3251,,Operational,35.229320650795,-80.8425442665579,N Church St,West,200,e69e4858-c616-4b33-be3b-66a431459670
1450764.525231,543628.312106013,3252,031,Operational,,,N Tryon St,East,400,ac76dc50-fa71-489c-a434-3beb77dc21b9
1449892.31460601,543722.201481014,3253,,Operational,35.2299520781845,-80.8422538215456,W 6th St,South,200,a99cc388-8377-4ce3-8722-d3cc0c077efb
1448532.64460601,544573.475856006,3254,,Operational,35.2322212793269,-80.8468591984234,W 5th St,South,520,5f656c90-20b0-4f8a-af2c-9362377a5ae7
1448735.28835601,543401.394606009,3255,,Operational,35.2290117030703,-80.8461077134007,S Mint St,East,100,d4e1972c-5310-4938-8786-15fc5af730b8
1449003.729606,540555.616481006,3256,277,Operational,35.2212075075526,-80.845031842724,S Brevard St,West,400,853c0406-d9a7-41e3-9d41-e7cdec09dd29
1450541.78148101,541041.316481009,3257,352,Pay Station,,,E 4th St,South,500,4a2efa5e-5377-48ee-9f36-87a355a2264e
1450466.980856,543440.180231005,3258,2049,Pay Station,,,N Tryon St,,300,b5832b47-1b5f-4d81-8403-8b623ae4deb5
1451717.872731,542717.709606007,3259,,Operational,,,N Brevard St,East,400,91095c90-1705-4269-8a90-2035ee356d28
1449948.73648101,540054.00273101,3260,507,Operational,35.219877690404,-80.8418370175819,E Martin Luther King Jr Bv,South,600,cede5b50-51b5-42ea-9eae-ec9f6971b482
1451215.83398101,543406.267106012,3261,,Operational,35.2291515469733,-80.8378029205304,N College St,East,400,0ffa94d2-2f2d-44e0-8d04-5304b84e022d
1449935.22460601,543673.514606014,3262,,Operational,35.2298205136783,-80.8421071281345,W 6th St,South,200,7ea2ab00-9132-4b06-b38e-c238a6b7e818
1450288.399606,540419.918981001,3263,366,Pay Station,35.2209002449546,-80.8407226392551,S Davidson St,East,300,49e5d054-5a31-4b6d-9ab8-6eb1a187877d
1450598.32648101,540339.043356001,3264,470,Pay Station,35.2206938485128,-80.8396800610928,E 3rd St,South,600,a89b2b73-fca9-4f1b-bd15-09639cc5b59e
1451575.978356,542647.912106007,3265,216,Operational,,,N Brevard St,West,400,a0fdf7fc-ef27-421a-ba3f-15db070e9eae
1451726.59335601,544493.248356014,3266,2015,Operational,35.2321661760618,-80.836162217787,N Tryon St,West,700,b5fd2a3b-15ac-4cf4-ad4a-a64f17c7514e
1449474.55273101,541642.788356006,3267,171,Operational,35.2242182154094,-80.8435232342243,E 3rd St,North,200,3359e2a4-d4c9-4b3d-8e23-9e6105665864
1448120.28023101,545570.967731014,3268,2486,Operational,,,N Cedar St,East,200,59495f86-94e2-4541-8a52-8bc5b9c76726
1454560.825856,537652.773356006,3269,,Operational,35.2135151369761,-80.8262491144595,Elizabeth Av,North,1600,0c975104-8c38-45c5-baf0-3d9fe980870c
1450949.731481,539949.828981012,3270,486,Pay Station,35.2196424852767,-80.8384795109841,E 3rd St,South,600,c7862d3e-4181-4a9d-b4c3-a218adf09732
1446640.28273101,545933.500231013,3271,2605,Operational,,,N Sycamore St,East,100,bc121ea2-846f-4817-ab6a-4d61fb265eff
1447950.09460601,542640.238356009,3272,2242,Operational,,,W Martin Luther King Jr Bv,South,200,78853a52-1616-43a2-bdc7-ae85b839c2c9
1450124.853981,543157.195231006,3273,2056,Pay Station,,,N Tryon St,West,200,990f5274-4d0f-4640-ad2a-c41fd19dd4ca
1451036.36085601,543255.232106,3274,,Operational,35.2287274936601,-80.8383944482161,N College St,East,400,49135c05-c861-4b67-b14b-5ceb7f3bab45
1448736.853356,544343.885856003,3275,,Operational,35.2316009879077,-80.8461611651196,W 5th St,South,500,8f236293-814e-47cc-be69-9d1f644cee33
1454718.13085601,538045.578981012,3276,,Operational,35.214602206388,-80.8257467278616,Travis Av,West,200,a369056b-01cb-432c-a470-d077577bc4a9
1449037.11398101,544580.158356011,3277,,Operational,35.2322654119408,-80.8451705402556,W 6th St,South,500,fcf35e08-2dfd-424b-8140-e4def34329b9
1449664.21148101,541428.844606012,3278,178,Operational,35.2236401451707,-80.8428749788927,E 3rd St,North,200,e2704f01-6a6d-4c97-b23b-620c2b90092f
1451121.696481,543982.210856006,3279,2029,Operational,,,N Tryon St,West,500,3717a54e-10a0-488a-b150-75339c23845c
1450013.635856,539976.719606012,3280,512,Operational,35.2196686864197,-80.8416149527824,E Martin Luther King Jr Bv,South,600,ffe7e2e2-8130-4b3a-bbdb-8bbeb0a36a5a
1448400.868356,541756.818981007,3281,2084,Pay Station,,,S Tryon St,West,400,323ad58e-e9ed-41cb-b1ff-ba5c7c84d3df
1451568.574606,544428.385231003,3282,2108,Operational,35.2319774434687,-80.8366852336992,W 10th St,South,100,363e0cd3-6340-46b6-a721-619c4e069fa6
1448966.493356,544647.306481004,3283,,Operational,35.2324462739778,-80.8454111736762,W 6th St,South,500,a942f46c-812e-4f23-8dfd-0be0bb6ac19c
1449673.10773101,541419.948356003,3284,179,Operational,35.2236161591726,-80.8428446424596,E 3rd St,North,200,668a2417-8c6b-4b29-9da8-4203626cea54
1450759.94273101,543624.320231006,3285,032,Operational,,,N Tryon St,East,400,b65e95f9-8312-4ae8-86be-ccc9311d6599
1452509.60898101,540936.838356003,3286,433,Operational,35.2224332603587,-80.8333185231356,E 6th St,North,800,7f511a01-7aa4-41fb-9b87-4094fd5a5ccd
1450595.92398101,539415.427106008,3287,542,Operational,35.2181563671518,-80.8396307972608,E Martin Luther King Jr Bv,North,600,3f76d38e-af48-4e2a-8445-0b688ec55cd4
1451103.37710601,539782.805231005,3288,497,Pay Station,35.2191914543913,-80.8379547968776,E 3rd St,South,600,97211bcd-88eb-4cfb-89dd-60c7d0596bf9
1448261.090231,543025.532731012,3289,2342,Operational,,,S Mint St,East,200,5b9352d7-f535-4357-bc33-8e44e230fba3
1448376.353356,543105.007731006,3290,,Operational,35.2281791255138,-80.8472909905582,S Mint St,East,200,c1b2fd99-fcbc-4def-ba99-7316c26d25ea
1449392.292106,542558.272731006,3291,2068,Pay Station,,,S Tryon St,West,100,26cae6c7-cab1-42e6-9e0d-84fb49353824
1450581.680856,539430.645856008,3292,541,Operational,35.2181974509087,-80.8396794224421,E Martin Luther King Jr Bv,North,600,1b26b8a8-be04-4554-a275-2ee9ac93be4a
1450678.98398101,540252.504606009,3293,471,Pay Station,35.2204602157904,-80.8394046712854,E 3rd St,South,600,ec40b091-edab-4c39-8661-5ec5365f5f5f
1451943.52398101,542766.820856005,3294,,Operational,,,N Brevard St,North,400,008ea812-7308-46bf-bfbe-5aa64d473e75
1447690.67210601,542994.54960601,3295,2385,Pay Station,,,W Martin Luther King Jr Bv,North,400,366c2038-3a70-470f-9ecf-1a745afd3af6
1452025.180856,542693.478356004,3296,,Operational,,,N Brevard St,North,400,218afc90-e4f8-4c73-9c94-fbc70fe75717
1447077.712731,545321.052731007,3297,,Operational,35.2342005458937,-80.8517773204469,W Trade St,South,900,d803eb00-f5a0-4a5e-8d2b-319b158ee0c8
1451009.12835601,539882.952106014,3298,490,Pay Station,35.2194617832278,-80.8382765213304,E 3rd St,South,600,5cc612f5-6e5b-4352-b030-8144fe52a6e6
1449926.32898101,541138.914606005,3299,285,Operational,35.222857016398,-80.8419794313027,E 3rd St,North,400,79cc237b-d267-4d4b-be4b-a25553508cb5
1450342.34335601,543224.977106005,3300,,Operational,35.2286090423142,-80.8407161947723,E 6th St,South,100,7ab2a2c4-b78e-4197-99e9-c331138a4f5a
1451980.15898101,542929.475856006,3301,,Operational,,,N Brevard St,East,500,c1cadc62-9a21-4f81-b0f9-ed95103aa317
1448670.53585601,543822.288981006,3302,,Operational,35.2301646723026,-80.8463507233,W Trade St,North,400,62f2703d-9627-470d-bb5d-8bdaa2cbcdcb
1450542.13335601,539475.696481004,3303,538,Operational,35.2183192003113,-80.8398146088928,E Martin Luther King Jr Bv,North,600,e8cf6173-ed3c-4dee-a9f9-819e36dd4d14
1451748.70835601,541152.220231012,3304,455,Operational,35.2229863219697,-80.8358792202404,E 5th St,North,600,edc461d6-7a28-4246-a4dd-b05800e5e5f8
1449745.77273101,541153.503981009,3305,,Operational,,,Brevard St,Right,300,f5e18d28-b5cd-459f-9b61-22546278acd0
1448135.810231,541487.922731012,3306,083,Pay Station,,,S Tryon St,East,500,b2fcc4f2-ffc0-4008-a883-ad57f71b55a2
1451435.72648101,544579.801481009,3307,2114,Operational,35.2324114169588,-80.8371730065054,W 10th St,South,100,151b02a9-a06d-42de-818a-600f84083aad
1449147.80148101,540670.050856009,3308,268,Operational,35.2215292374396,-80.8445566429179,S Brevard St,West,400,8dc3b4f3-c439-4e97-bf03-25c91046ec15
1448078.52398101,542869.15898101,3309,2345,Pay Station,,,S Mint St,East,300,459a2dfc-f1fd-4fe7-a94e-27f11bef1f24
1450075.90960601,543117.689606011,3310,2059,Pay Station,,,N Tryon St,West,200,ba66e376-4e6e-443d-9150-86f9a0c07675
1451745.885856,544446.964606002,3311,014,Operational,35.2320374966753,-80.8360927082407,N Tryon St,East,700,177cc26c-0e3b-44ac-9bf2-154dcacc1900
1447631.60085601,545391.066481009,3312,,Operational,35.2344212604098,-80.8499271072395,W 5th St,South,800,c8b17bce-2c31-444c-80c4-e7e16713f603
1451350.667731,544176.256481007,3313,2022,Operational,,,N Tryon St,West,600,5fbcf3d6-6d9d-4b12-9c46-4f74d351c20a
1454020.464606,538201.991481006,3314,,Operational,35.21499662742,-80.8280918129094,Elizabeth Av,North,1400,65f48183-bb00-4e50-8d1a-4960eda8be1d
1451696.87773101,542746.677106008,3315,,Operational,,,N Brevard St,West,400,78406322-358e-47bd-b831-6038557efb05
1449368.78273101,541862.935231,3316,160,Pay Station,35.2248176047918,-80.8438910321503,S College St,East,200,acc13d9d-fc81-4c7d-9e26-5e8f509c2ebe
1449234.10960601,543804.415231004,3317,,Operational,35.2301443544721,-80.8444626901483,W 5th St,South,300,98d54a13-b996-448f-a3cf-281eaecf3ebe
1446661.53460601,545956.230231002,3318,2604,Operational,,,N Sycamore St,East,100,41c7bb63-d2db-4b63-909d-07aac9651b16
1450545.96960601,543446.832106009,3319,035,Pay Station,35.2292288934916,-80.8400482087153,N Tryon St,East,300,02058f89-0150-40b7-bfb1-355600c3e08f
1451991.61460601,542984.473981008,3320,,Operational,,,N Brevard St,West,500,4ed8ffe8-d6ce-44f3-88df-7b69c88b33f8
1452244.66273101,541210.382106006,3321,422,Operational,35.2231712933578,-80.8342224393023,E 6th St,North,700,82668b51-2978-4839-9532-037699dbf24c
1449051.89085601,540593.898356006,3322,274,Operational,35.2213151346626,-80.8448729921144,S Brevard St,West,400,3cd55d23-a479-4835-8bec-51f15b3dfb74
1448322.790231,544859.322731003,3323,,Operational,35.2329958263246,-80.847579651409,W 5th St,North,520,a79c62aa-831d-42c4-864b-8724ac178d38
1447532.00273101,541595.113981009,3324,,Bagged,35.2239879543381,-80.8500236978596,S Church St,East,600,bdba99ff-864d-4ec3-8143-2d8d32cdcde3
1451710.948356,544085.403356001,3325,108,Operational,35.2310424411788,-80.8361872919832,Phifer Av,North,100,accd64ce-bfaa-4a22-a631-7f518a6487e8
1454155.19523101,537999.057731003,3326,,Operational,35.2144459421147,-80.8276282908984,Elizabeth Av,South,1500,19cfae87-de40-4653-a867-9c78236ce013
1452258.55523101,541195.871481001,3327,423,Operational,35.2231321350021,-80.8341750315525,E 6th St,North,700,fce088f4-10ed-4e6b-9a58-c456ef5749aa
1450293.872106,540672.052106008,3328,295,Operational,35.2215931836714,-80.8407199718375,E 3rd St,South,500,a955e2dc-f7ec-4bba-89be-36b8862351f4
1450453.527731,543368.169606,3329,039,Pay Station,35.2290080839858,-80.8403528301641,N Tryon St,East,300,a2a3b627-fe5d-4ff1-9e8d-214cb2d9b430
1447840.92273101,541318.091481,3330,,Bagged,35.2232427331198,-80.8489721950964,S Tryon St,West,600,53a5f389-2a76-42f0-be4a-888530278572
1451205.950231,544604.614606008,3331,2623,Operational,,,N Church St,East,600,ae41169f-59fc-4bab-9ad6-7ed0cc86565b
1451622.58148101,541280.986481011,3332,446,Operational,35.2233336592104,-80.8363094487482,E 5th St,North,600,c3622077-df1c-4a93-87fe-eab21901eb8d
1448062.681481,545489.102731004,3333,2489,Operational,,,N Cedar St,East,200,891f85e1-ffc7-4208-b681-4a15074d196f
1445529.66023101,537641.006481007,3334,,Operational,35.213022548788,-80.8564796940456,South Bv,West,1600,586f0362-aa7c-4996-8745-5619fbcb0f5a
1447385.84960601,545131.280231014,3335,,Pay Station,35.2336949932221,-80.8507337389524,W Trade St,North,800,4ebdc264-c606-4f9c-80b1-5a6184f077f7
1450684.997731,542839.287106007,3336,,Operational,35.2275669273011,-80.8395450306766,E 6th St,South,200,10f8fda2-abd3-4cb2-9d43-8f7f7e80ea5c
1447778.61523101,541800.212106004,3337,2174,Operational,,,S Church,East,500,b8d45870-fbb4-4af2-aee3-553954ab23eb
1449723.22335601,543428.904606014,3338,,Operational,35.2291377116256,-80.8428017292438,N Church St,West,200,684dd734-e0f6-4a8a-9cee-9786abd55fbb
1448093.80023101,542883.041481003,3339,2344,Pay Station,,-80.8481587822595,S Mint St,East,300,072dffe8-5982-4be0-949f-2d740e738566
1450125.325856,543100.92523101,3340,,Pay Station,35.2282311677644,-80.8414623864051,N Tryon St,East,200,2a8b20f7-fc33-453d-873a-64754ee99891
1449703.84523101,539949.303356007,3341,397,Operational,35.2195775738537,-80.8426503365508,S Davidson St,East,400,c9bf96aa-d1eb-4c07-9a81-bb2cac86b2a2
1448454.66273101,544063.280231014,3342,,Bagged,35.2308156878903,-80.8470885102799,W Trade St,North,500,c3d37a38-0cfb-497e-b603-6c55bdc521f0
1445449.290231,537448.920856014,3343,,Operational,35.2124907223317,-80.8567366985899,South Bv,East,1700,ebe00b8c-f11b-41b8-9746-c0a4e48c3757
1448998.47648101,541632.418356001,3344,168,Pay Station,35.224165425452,-80.8451164399585,S College St,West,300,7be39c41-24dd-4d35-bd1d-d1982ccb365d
1450963.31460601,539933.928981006,3345,487,Pay Station,35.2195994959334,-80.8384330527897,E 3rd St,South,600,89c1bde3-edea-487b-a097-21b3dbb6f02f
1447881.66398101,544661.859606013,3346,,Pay Station,35.2324307913427,-80.8490443354406,W Trade St,North,600,fd8d4ad4-8c3c-42e2-a14c-e76ced74afa5
1450909.698356,543148.060856014,3347,,Operational,35.2284266276093,-80.8388118771015,N College St,East,300,8b3a18e6-3b8b-4564-b997-07b0406650b7
1448695.81898101,544901.078356013,3348,,Operational,35.2331296056134,-80.8463332583482,W 6th St,South,600,06848cb6-9b44-4c3f-a344-21dda9117e31
