City,Street Address,Rate
New York City,Sylvia Street,1.625
New York City,Remsen Street,3.0
New York City,Old Slip *RDWY,6.0
New York City,Water Street,4.5
New York City,East Broadway,5.375
New York City,Pike Street,5.375
New York City,Livingston Street,3.0
New York City,Court Street,3.0
New York City,DeKalb Avenue,3.0
New York City,Flatbush Avenue Extension,3.0
New York City,John Street,0.0
New York City,Fulton Street,0.0
New York City,Liberty Street,0.0
New York City,South Street,0.0
New York City,Beaver Street,0.0
New York City,Pearl Street,4.5
New York City,Willoughby Street,3.0
New York City,Court Street,3.0
New York City,DeKalb Avenue,1.625
New York City,South 4 Street,1.625
New York City,11 Avenue,1.4375
New York City,Ft. Hamilton Parkway,1.625
New York City,45 Street,1.4375
New York City,Nostrand Avenue,1.625
New York City,Lorimer Street,1.625
New York City,Grand Street,1.625
New York City,Norman Avenue,2.0
New York City,Fulton Street,2.0
New York City,Nostrand Avenue,1.625
New York City,7 Avenue,3.0
New York City,40 Street,1.4375
New York City,13 Avenue,1.4375
New York City,41 Street,1.4375
New York City,Graham Avenue,1.625
New York City,Smith Street,3.0
New York City,Court Street,3.0
New York City,5 Avenue,3.0
New York City,97 Street,1.625
New York City,69 Road,2.33
New York City,Northern Boulevard,1.625
New York City,Junction Boulevard,1.625
New York City,Onderdonk Avenue,2.0
New York City,Jamaica Avenue,2.0
New York City,97 Street,1.625
New York City,Seneca Avenue,2.0
New York City,Forest Avenue,2.0
New York City,101 Avenue,1.625
New York City,Allen Street,5.375
New York City,7 Avenue,0.0
New York City,East 31 Street,5.375
New York City,2 Avenue,5.375
New York City,East 30 Street,5.375
New York City,1 Avenue,5.375
New York City,9 Avenue,5.375
New York City,West 46 Street,4.0
New York City,MulBerry Street,5.375
New York City,3 Avenue,5.375
New York City,East 25 Street,5.375
New York City,2 Avenue,5.375
New York City,Orchard Street,5.375
New York City,Lincoln Place,1.625
New York City,Washington Avenue,1.625
New York City,St. Johns Place,1.625
New York City,5 Avenue,1.625
New York City,5 Avenue,1.625
New York City,8 Avenue,2.0
New York City,52 Street,2.0
New York City,Graham Avenue,2.0
New York City,New Utrecht Avenue,1.4375
New York City,Queens Boulevard *N S/R,1.625
New York City,Queens Boulevard *S S/R,2.0
New York City,Queens Boulevard,1.625
New York City,71 Avenue,2.33
New York City,Austin Street,2.33
New York City,70 Road,2.33
New York City,Main Street,3.0
New York City,Maple Avenue,3.0
New York City,Alderton Street,1.625
New York City,63 Drive,1.625
New York City,Austin Street,1.625
New York City,78 Crescent,1.625
New York City,78 Avenue,1.625
New York City,Stephen Street,2.0
New York City,West 58 Street,0.0
New York City,West 60 Street,0.0
New York City,10 Avenue,5.375
New York City,8 Avenue,5.375
New York City,West 24 Street,5.375
New York City,7 Avenue,6.0
New York City,Lexington Avenue,6.0
New York City,East 35 Street,6.0
New York City,East 20 Street,5.375
New York City,Gramercy Park East,5.375
New York City,East 21 Street,5.375
New York City,Allen Street,5.375
New York City,Grand Street,5.375
New York City,Hudson Street,5.375
New York City,3 Avenue,5.375
New York City,East 62 Street,0.0
New York City,Lexington Avenue,0.0
New York City,West 37 Street,4.5
New York City,Broadway,4.5
New York City,West 38 Street,4.5
New York City,6 Avenue,5.375
New York City,Varick Street,5.375
New York City,York Avenue,5.375
New York City,East 62 Street,0.0
New York City,2 Avenue,5.375
New York City,Cooper Square,5.375
New York City,2 Avenue,5.375
New York City,East 48 Street,4.5
New York City,East 47 Street,4.5
New York City,Park Avenue,0.0
New York City,3 Avenue,5.375
New York City,West 44 Street,4.5
New York City,Avenue of the Americas,0.0
New York City,Grand Street,5.375
New York City,East 23 Street,6.0
New York City,2 Avenue,5.375
New York City,East 24 Street,5.375
New York City,2 Avenue,5.375
New York City,Dekalb Avenue,1.625
New York City,Myrtle Avenue,2.0
New York City,Myrtle Avenue,2.0
New York City,Vanderbilt Avenue,1.625
New York City,Washington Avenue,1.625
New York City,Ditmas Avenue,1.625
New York City,McDonald Avenue,1.625
New York City,Metropolitan Avenue,1.625
New York City,72 Avenue,1.625
New York City,71 Road,1.625
New York City,Queens Boulevard,1.625
New York City,Madison Street,1.625
New York City,Forest Avenue,2.0
New York City,Liberty Avenue,1.625
New York City,Myrtle Avenue,1.625
New York City,Jamaica Avenue,2.0
New York City,Woodbine Street,1.625
New York City,Cornelia Street,2.0
New York City,101 Avenue,1.625
New York City,Myrtle Avenue,2.0
New York City,Myrtle Avenue,1.625
New York City,Cornelia Street,2.0
New York City,Myrtle Avenue,1.625
New York City,Starling Avenue,1.625
New York City,East 58 Street,4.5
New York City,East 57 Street,0.0
New York City,East 16 Street,6.0
New York City,West 32 Street,0.0
New York City,West 31 Street,0.0
New York City,East 60 Street,4.5
New York City,East 61 Street,0.0
New York City,West 22 Street,0.0
New York City,7 Avenue,5.375
New York City,West 21 Street,0.0
New York City,1 Avenue,5.375
New York City,9 Avenue,5.375
New York City,West 45 Street,0.0
New York City,1 Avenue,5.375
New York City,West 13 Street,5.375
New York City,Spring Street,5.375
New York City,Broadway,5.375
New York City,Broome Street,5.375
New York City,West 30 Street,5.375
New York City,East 8 Street,5.375
New York City,Central Park South,0.0
New York City,7 Avenue,6.0
New York City,West 58 Street,0.0
New York City,East 28 Street,5.375
New York City,2 Avenue,5.375
New York City,East 29 Street,5.375
New York City,1 Avenue,5.375
New York City,East 40 Street,6.0
New York City,Mott Street,5.375
New York City,Canal Street,4.0
New York City,Canal Street,4.0
New York City,Avenue of the Americas,0.0
New York City,West 24 Street,0.0
New York City,Waverly Place,5.375
New York City,Broadway,5.375
New York City,Park Avenue,0.0
New York City,East 54 Street,4.5
New York City,7 Avenue,4.5
New York City,West 36 Street,4.5
New York City,Broadway,4.5
New York City,3 Avenue,6.0
New York City,Avenue A,5.375
New York City,Grand Street,0.0
New York City,East 54 Street,4.5
New York City,Park Avenue,0.0
New York City,8 Avenue,5.375
New York City,Wall Street,4.5
New York City,Main Street,1.25
New York City,Knickerbocker Avenue,1.625
New York City,Dekalb Avenue,1.625
New York City,7 Avenue,3.0
New York City,Atlantic Avenue,3.0
New York City,Harman Street,1.625
New York City,Knickerbocker Avenue,1.625
New York City,Himrod Street,1.625
New York City,4 Avenue,1.625
New York City,Union Street,3.0
New York City,President Street,3.0
New York City,13 Street,3.0
New York City,Prospect Park West,1.625
New York City,Myrtle Avenue,2.0
New York City,Myrtle Avenue,2.0
New York City,Jamaica Avenue,2.0
New York City,Myrtle Avenue,1.625
New York City,Fresh Pond Road,1.625
New York City,Jamaica Avenue,2.0
New York City,Fresh Pond Road,1.625
New York City,Myrtle Avenue,1.625
New York City,Cypress Avenue,2.0
New York City,101 Avenue,1.625
New York City,Seneca Avenue,2.0
New York City,Myrtle Avenue,2.0
New York City,Myrtle Avenue,1.625
New York City,Jamaica Avenue,2.0
New York City,Yellowstone Boulevard,1.625
New York City,78 Street,1.625
New York City,69 Lane,1.625
New York City,Southern Boulevard,1.625
New York City,Sommer Place,1.625
New York City,Morrison Avenue,1.625
New York City,Morrison Avenue,1.625
New York City,Grand Concourse,1.25
New York City,3 Avenue,2.0
New York City,East Tremont Avenue,1.625
New York City,1 Avenue,5.375
New York City,2 Avenue,0.0
New York City,9 Avenue,5.375
New York City,West 38 Street,0.0
New York City,West 55 Street,0.0
New York City,Irving Place,5.375
New York City,East 18 Street,0.0
New York City,Park Avenue South,6.0
New York City,West 39 Street,0.0
New York City,9 Avenue,5.375
New York City,8 Avenue,6.0
New York City,East 58 Street,0.0
New York City,Lexington Avenue,0.0
New York City,East 57 Street,0.0
New York City,N. Railroad Avenue,1.625
New York City,Jewett Avenue,1.625
New York City,East 167 Street,1.625
New York City,East 167 Street,1.625
New York City,Westchester Avenue,1.625
New York City,Melrose Avenue,2.0
New York City,Elder Avenue,1.625
New York City,East 149 Street,2.0
New York City,East 149 Street,2.0
New York City,McGraw Avenue,1.625
New York City,Westchester Avenue,1.625
New York City,37 Avenue,1.625
New York City,Queens Boulevard *S S/R,1.625
New York City,Queens Boulevard,1.625
New York City,Queens Boulevard *N SR,1.625
New York City,13 Avenue,1.4375
New York City,44 Street,1.75
New York City,14 Avenue,1.625
New York City,Court Street,3.0
New York City,Vanderbilt Avenue,1.625
New York City,West 49 Street,4.5
New York City,Broadway,4.5
New York City,West 52 Street,4.5
New York City,8 Avenue,0.0
New York City,3 Avenue,5.375
New York City,Madison Avenue,0.0
New York City,East 43 Street,4.5
New York City,7 Avenue,4.5
New York City,West 50 Street,4.5
New York City,Lexington Avenue,5.375
New York City,East 65 Street,0.0
New York City,Irving Place,5.375
New York City,East 17 Street,0.0
New York City,East 41 Street,6.0
New York City,East 40 Street,6.0
New York City,Park Avenue,6.0
New York City,West 26 Street,0.0
New York City,Broadway,4.5
New York City,2 Avenue,5.375
New York City,Madison Avenue,5.375
New York City,2 Avenue,5.375
